,incident_name,start,end,event_name,Unnamed: 0,incident,count
0,ballot_box:_Collecting_After_Election,305,376,ballot_box:_Collecting_After_Election_event_0,0,ballot box: Collecting After Election,24617
1,ballot_box:_Collecting_After_Election,599,651,ballot_box:_Collecting_After_Election_event_1,0,ballot box: Collecting After Election,24617
2,ballot_box:_Collecting_After_Election,689,749,ballot_box:_Collecting_After_Election_event_2,0,ballot box: Collecting After Election,24617
3,ballot_box:_Collecting_After_Election,956,1159,ballot_box:_Collecting_After_Election_event_3,0,ballot box: Collecting After Election,24617
4,ballot_box:_Collecting_After_Election,1222,1337,ballot_box:_Collecting_After_Election_event_4,0,ballot box: Collecting After Election,24617
5,ballot_box:_Collecting_After_Election,1337,1383,ballot_box:_Collecting_After_Election_event_5,0,ballot box: Collecting After Election,24617
6,ballot_box:_Fire_Baldwin_Park,757,935,ballot_box:_Fire_Baldwin_Park_event_0,1,ballot box: Fire Baldwin Park,3261
7,ballot_box:_Franklin_County_Police,230,250,ballot_box:_Franklin_County_Police_event_0,2,ballot box: Franklin County Police,4624
8,ballot_harvesting:_Baltimore_elderly_votes,274,351,ballot_harvesting:_Baltimore_elderly_votes_event_0,7,ballot harvesting: Baltimore elderly votes,16352
9,Ballot_harvesting:_Baltimore_elderly_votes,274,351,Ballot_harvesting:_Baltimore_elderly_votes_event_0,8,Ballot harvesting: Baltimore elderly votes,32703
10,ballot_harvesting:_Biden_Texas_Director,7951,8310,ballot_harvesting:_Biden_Texas_Director_event_0,9,ballot harvesting: Biden Texas Director,127833
11,ballot_harvesting:_Biden_Texas_Director,9675,9791,ballot_harvesting:_Biden_Texas_Director_event_1,9,ballot harvesting: Biden Texas Director,127833
12,ballot_harvesting:_Granny_farming_,14825,14867,ballot_harvesting:_Granny_farming__event_0,11,ballot harvesting: Granny farming ,46861
13,ballot_harvesting:_Granny_farming_,23144,23179,ballot_harvesting:_Granny_farming__event_1,11,ballot harvesting: Granny farming ,46861
14,ballot_harvesting:_Granny_farming_,34173,34202,ballot_harvesting:_Granny_farming__event_2,11,ballot harvesting: Granny farming ,46861
15,ballot_harvesting:_Ilhan_Omar_Project_Veritas_Video_,35,591,ballot_harvesting:_Ilhan_Omar_Project_Veritas_Video__event_0,12,ballot harvesting: Ilhan Omar Project Veritas Video ,1251566
16,ballot_harvesting:_Lebron_Bloomberg,337,743,ballot_harvesting:_Lebron_Bloomberg_event_0,13,ballot harvesting: Lebron/Bloomberg,48466
17,ballot_harvesting:_Michigan_Union,209,266,ballot_harvesting:_Michigan_Union_event_0,14,ballot harvesting: Michigan Union,2445
18,Ballot_harvesting:_Minnesota_Somali_voters,444,508,Ballot_harvesting:_Minnesota_Somali_voters_event_0,15,Ballot harvesting: Minnesota Somali voters,2445
19,ballot_harvesting:_new_Michigan_law,1123,1239,ballot_harvesting:_new_Michigan_law_event_0,16,ballot harvesting: new Michigan law,8250
20,"Ballot_harvesting:_Reseda,_California",17,200,"Ballot_harvesting:_Reseda,_California_event_0",18,"Ballot harvesting: Reseda, California",29811
21,Ballot_harvesting:_Texas_ballot_chasers,21119,21256,Ballot_harvesting:_Texas_ballot_chasers_event_0,20,Ballot harvesting: Texas ballot chasers,137462
22,ballot_stuffing:_Don_Jr_Trump_Army,195,288,ballot_stuffing:_Don_Jr_Trump_Army_event_0,24,ballot stuffing: Don Jr Trump Army,4443
23,ballot_stuffing:_MI_ballots_not_on_voter_rolls,167,380,ballot_stuffing:_MI_ballots_not_on_voter_rolls_event_0,26,ballot stuffing: MI ballots not on voter rolls,60181
24,ballot_stuffing:_MI_Van_Votes,485,536,ballot_stuffing:_MI_Van_Votes_event_0,27,ballot stuffing: MI Van Votes,9254
25,ballot_stuffing:_MI_Van_Votes,842,870,ballot_stuffing:_MI_Van_Votes_event_1,27,ballot stuffing: MI Van Votes,9254
26,ballot_stuffing:_MI_wagons_suitcases_and_coolers,802,889,ballot_stuffing:_MI_wagons_suitcases_and_coolers_event_0,28,ballot stuffing: MI wagons suitcases and coolers,23952
27,ballot_stuffing:_MI_wagons_suitcases_and_coolers,899,949,ballot_stuffing:_MI_wagons_suitcases_and_coolers_event_1,28,ballot stuffing: MI wagons suitcases and coolers,23952
28,ballot_stuffing:_MI_wagons_suitcases_and_coolers,976,1141,ballot_stuffing:_MI_wagons_suitcases_and_coolers_event_2,28,ballot stuffing: MI wagons suitcases and coolers,23952
29,ballot_stuffing:_NJ_poll_watcher,19609,19628,ballot_stuffing:_NJ_poll_watcher_event_0,29,ballot stuffing: NJ poll watcher,300
30,ballot_stuffing:_NJ_poll_watcher,19670,19688,ballot_stuffing:_NJ_poll_watcher_event_1,29,ballot stuffing: NJ poll watcher,300
31,ballot_stuffing:_No_down_ticket,2575,2616,ballot_stuffing:_No_down_ticket_event_0,30,ballot stuffing: No down ticket,9963
32,ballot_stuffing:_No_down_ticket,2652,2670,ballot_stuffing:_No_down_ticket_event_1,30,ballot stuffing: No down ticket,9963
33,ballot_stuffing:_No_down_ticket,2670,2825,ballot_stuffing:_No_down_ticket_event_2,30,ballot stuffing: No down ticket,9963
