,n_eff,Rhat,divergence,treedepth,energy,observed_engagement,y_0,final_predicted,Unnamed: 0.1,incident_name,start,end,event_name,Unnamed: 0,incident,count,duration,sample_loc,data_loc,lower_predicted,upper_predicted,included
0,True,True,True,True,True,88.0,0.0,True,374,riot:_crimethinc,34754,34766,riot:_crimethinc_event_3,313,riot: crimethinc,9458,12,./output/posteriors/riot:_crimethinc_event_3_raw.p,./data/timeseries/aggregated/riot:_crimethinc_raw.csv,41.0,177.0,True
1,True,True,True,True,True,20.0,0.0,True,53,coup:_Frozen_Election,367,379,coup:_Frozen_Election_event_0,38,coup: Frozen Election,257,12,./output/posteriors/coup:_Frozen_Election_event_0_raw.p,./data/timeseries/aggregated/coup:_Frozen_Election_raw.csv,10.0,36.0,True
2,True,True,True,True,True,55.0,0.0,True,398,Statistics:_2%_Strategy_,350,362,Statistics:_2%_Strategy__event_0,322,Statistics: 2% Strategy ,66,12,./output/posteriors/Statistics:_2%_Strategy__event_0_raw.p,./data/timeseries/aggregated/Statistics:_2%_Strategy__raw.csv,29.0,102.0,True
3,True,True,True,True,True,70.0,0.0,True,144,lost:_Biden_truck_ballots,4972,4984,lost:_Biden_truck_ballots_event_1,123,lost: Biden truck ballots,497,12,./output/posteriors/lost:_Biden_truck_ballots_event_1_raw.p,./data/timeseries/aggregated/lost:_Biden_truck_ballots_raw.csv,45.0,101.0,True
4,True,True,True,True,True,262.0,0.0,True,472,tech:_Russian_Malware_ES&S_Diebold,1533,1545,tech:_Russian_Malware_ES&S_Diebold_event_2,367,tech: Russian Malware ES&S/Diebold,7984,12,./output/posteriors/tech:_Russian_Malware_ES&S_Diebold_event_2_raw.p,./data/timeseries/aggregated/tech:_Russian_Malware_ES&S_Diebold_raw.csv,140.945,479.0,True
5,True,True,True,True,True,100.0,1.0,True,128,intimidation:_threat_letter,1248,1260,intimidation:_threat_letter_event_1,111,intimidation: threat letter,4368,12,./output/posteriors/intimidation:_threat_letter_event_1_raw.p,./data/timeseries/aggregated/intimidation:_threat_letter_raw.csv,60.94499999999999,167.0,True
6,True,True,True,True,True,112.0,0.0,True,479,USPS:_28_million_missing_ballots,22121,22133,USPS:_28_million_missing_ballots_event_4,370,USPS: 28 million missing ballots,2020,12,./output/posteriors/USPS:_28_million_missing_ballots_event_4_raw.p,./data/timeseries/aggregated/USPS:_28_million_missing_ballots_raw.csv,60.0,188.0,True
7,True,True,True,True,True,177.0,1.0,True,480,USPS:_28_million_missing_ballots,22145,22157,USPS:_28_million_missing_ballots_event_5,370,USPS: 28 million missing ballots,2020,12,./output/posteriors/USPS:_28_million_missing_ballots_event_5_raw.p,./data/timeseries/aggregated/USPS:_28_million_missing_ballots_raw.csv,99.0,315.0,True
8,True,True,True,True,True,123.0,0.0,True,517,voting_info:_NY_voting_process,21,33,voting_info:_NY_voting_process_event_0,405,voting info: NY voting process,195,12,./output/posteriors/voting_info:_NY_voting_process_event_0_raw.p,./data/timeseries/aggregated/voting_info:_NY_voting_process_raw.csv,67.0,233.0,True
9,True,True,True,True,True,29.0,0.0,True,331,poll_watchers:_Infographic_Picture,6578,6590,poll_watchers:_Infographic_Picture_event_0,279,poll watchers: Infographic Picture,518,12,./output/posteriors/poll_watchers:_Infographic_Picture_event_0_raw.p,./data/timeseries/aggregated/poll_watchers:_Infographic_Picture_raw.csv,15.0,51.0,True
10,True,True,True,True,True,294.0,4.0,True,109,In_Person_Fraud:_OHare_Airport,10211,10223,In_Person_Fraud:_OHare_Airport_event_3,91,In Person Fraud: OHare Airport,24762,12,./output/posteriors/In_Person_Fraud:_OHare_Airport_event_3_raw.p,./data/timeseries/aggregated/In_Person_Fraud:_OHare_Airport_raw.csv,178.0,498.0,True
11,True,True,True,True,True,585.0,0.0,True,491,USPS:_PA_Long_Wait,577,589,USPS:_PA_Long_Wait_event_1,380,USPS: PA Long Wait,10358,12,./output/posteriors/USPS:_PA_Long_Wait_event_1_raw.p,./data/timeseries/aggregated/USPS:_PA_Long_Wait_raw.csv,367.945,985.1099999999997,True
12,True,True,True,True,True,1141.0,4.0,True,77,False_Victory:_Eric_Trump_Calls_PA,0,12,False_Victory:_Eric_Trump_Calls_PA_event_0,67,False Victory: Eric Trump Calls PA,1800,12,./output/posteriors/False_Victory:_Eric_Trump_Calls_PA_event_0_raw.p,./data/timeseries/aggregated/False_Victory:_Eric_Trump_Calls_PA_raw.csv,874.9449999999999,1455.0,True
13,True,True,True,True,True,327.0,3.0,True,349,Prominent_Person:_Marjorie_Green_STS,387,399,Prominent_Person:_Marjorie_Green_STS_event_1,297,Prominent Person: Marjorie Green STS,1050,12,./output/posteriors/Prominent_Person:_Marjorie_Green_STS_event_1_raw.p,./data/timeseries/aggregated/Prominent_Person:_Marjorie_Green_STS_raw.csv,204.945,543.0549999999998,True
14,True,True,True,True,True,27.0,0.0,True,72,Digital_dumps:_AARP_Aggregate,105,117,Digital_dumps:_AARP_Aggregate_event_0,59,Digital dumps: AARP Aggregate,362,12,./output/posteriors/Digital_dumps:_AARP_Aggregate_event_0_raw.p,./data/timeseries/aggregated/Digital_dumps:_AARP_Aggregate_raw.csv,15.0,44.0,True
15,True,True,True,True,True,426.0,2.0,True,496,voting_info:_12th_Amendment,344,356,voting_info:_12th_Amendment_event_0,384,voting info: 12th Amendment,5253,12,./output/posteriors/voting_info:_12th_Amendment_event_0_raw.p,./data/timeseries/aggregated/voting_info:_12th_Amendment_raw.csv,228.945,906.0549999999998,True
16,True,True,True,True,True,269.0,2.0,True,497,voting_info:_12th_Amendment,670,682,voting_info:_12th_Amendment_event_1,384,voting info: 12th Amendment,5253,12,./output/posteriors/voting_info:_12th_Amendment_event_1_raw.p,./data/timeseries/aggregated/voting_info:_12th_Amendment_raw.csv,134.0,544.0549999999998,True
17,True,True,True,True,True,182.0,0.0,True,498,voting_info:_12th_Amendment,707,719,voting_info:_12th_Amendment_event_2,384,voting info: 12th Amendment,5253,12,./output/posteriors/voting_info:_12th_Amendment_event_2_raw.p,./data/timeseries/aggregated/voting_info:_12th_Amendment_raw.csv,105.945,332.0,True
18,True,True,True,True,True,23.0,0.0,True,505,voting_info:_ads_say_vote_not_counted,2980,2992,voting_info:_ads_say_vote_not_counted_event_0,386,voting info: ads say vote not counted,436,12,./output/posteriors/voting_info:_ads_say_vote_not_counted_event_0_raw.p,./data/timeseries/aggregated/voting_info:_ads_say_vote_not_counted_raw.csv,11.0,38.0,True
19,True,True,True,True,True,151.0,0.0,True,342,Prominent_Person:_Cuddy_Camaro,850,862,Prominent_Person:_Cuddy_Camaro_event_0,292,Prominent Person: Cuddy Camaro,2089,12,./output/posteriors/Prominent_Person:_Cuddy_Camaro_event_0_raw.p,./data/timeseries/aggregated/Prominent_Person:_Cuddy_Camaro_raw.csv,94.0,257.05499999999984,True
20,True,True,True,True,True,134.0,0.0,True,382,riot:_democrat-led_election_violence,50,62,riot:_democrat-led_election_violence_event_0,314,riot: democrat-led election violence,4890,12,./output/posteriors/riot:_democrat-led_election_violence_event_0_raw.p,./data/timeseries/aggregated/riot:_democrat-led_election_violence_raw.csv,83.0,212.0,True
21,True,True,True,True,True,29.0,0.0,True,148,lost:_desert_ballots,118,130,lost:_desert_ballots_event_1,128,lost: desert ballots,390,12,./output/posteriors/lost:_desert_ballots_event_1_raw.p,./data/timeseries/aggregated/lost:_desert_ballots_raw.csv,15.0,50.0,True
22,True,True,False,True,True,277.0,0.0,True,326,Physical_Mail_Mistakes:_Misprints_GA,68,80,Physical_Mail_Mistakes:_Misprints_GA_event_0,274,Physical Mail Mistakes: Misprints GA,836,12,./output/posteriors/Physical_Mail_Mistakes:_Misprints_GA_event_0_raw.p,./data/timeseries/aggregated/Physical_Mail_Mistakes:_Misprints_GA_raw.csv,146.0,518.0549999999998,False
23,True,True,True,True,True,57.0,0.0,True,286,Physical_Mail_Fraud:_CCP_Fake_Ballots,953,965,Physical_Mail_Fraud:_CCP_Fake_Ballots_event_0,229,Physical Mail Fraud: CCP Fake Ballots,1175,12,./output/posteriors/Physical_Mail_Fraud:_CCP_Fake_Ballots_event_0_raw.p,./data/timeseries/aggregated/Physical_Mail_Fraud:_CCP_Fake_Ballots_raw.csv,34.0,89.0,True
24,True,True,True,True,True,158.0,0.0,True,538,Voting_Twice:_Melania_Votes,529,541,Voting_Twice:_Melania_Votes_event_1,425,Voting Twice: Melania Votes,2517,12,./output/posteriors/Voting_Twice:_Melania_Votes_event_1_raw.p,./data/timeseries/aggregated/Voting_Twice:_Melania_Votes_raw.csv,101.0,254.05499999999984,True
25,True,True,True,True,True,53.0,0.0,True,243,Other:_WA_Miscellaneous_Fraud,145,157,Other:_WA_Miscellaneous_Fraud_event_0,203,Other: WA Miscellaneous Fraud,3149,12,./output/posteriors/Other:_WA_Miscellaneous_Fraud_event_0_raw.p,./data/timeseries/aggregated/Other:_WA_Miscellaneous_Fraud_raw.csv,31.0,83.0,True
26,True,True,True,True,True,332.0,0.0,True,390,riot:_democrat-led_election_violence,6902,6914,riot:_democrat-led_election_violence_event_8,314,riot: democrat-led election violence,4890,12,./output/posteriors/riot:_democrat-led_election_violence_event_8_raw.p,./data/timeseries/aggregated/riot:_democrat-led_election_violence_raw.csv,181.0,628.0,True
27,True,True,True,True,True,297.0,0.0,True,389,riot:_democrat-led_election_violence,5825,5837,riot:_democrat-led_election_violence_event_7,314,riot: democrat-led election violence,4890,12,./output/posteriors/riot:_democrat-led_election_violence_event_7_raw.p,./data/timeseries/aggregated/riot:_democrat-led_election_violence_raw.csv,167.945,456.05499999999984,True
