,Unnamed: 0.2,Unnamed: 0.1,incident_name,start,end,event_name,Unnamed: 0,incident,count,duration,BFMI,rhat,observed_engagement,y_0,final_predicted,sample_loc,data_loc,lower_predicted,upper_predicted,included
31,31,478,USPS:_28_million_missing_ballots,20310,20323,USPS:_28_million_missing_ballots_event_3,370,USPS: 28 million missing ballots,2020,13,True,False,58.0,0.0,True,./output/posteriors/USPS:_28_million_missing_ballots_event_3_raw.p,./data/timeseries/aggregated/USPS:_28_million_missing_ballots_raw.csv,27.0,122.0,False
37,37,383,riot:_democrat-led_election_violence,85,98,riot:_democrat-led_election_violence_event_1,314,riot: democrat-led election violence,4890,13,True,False,201.0,0.0,True,./output/posteriors/riot:_democrat-led_election_violence_event_1_raw.p,./data/timeseries/aggregated/riot:_democrat-led_election_violence_raw.csv,119.0,335.05499999999984,False
48,48,215,Other:_provisional_ballots,1776,1789,Other:_provisional_ballots_event_0,188,Other: provisional ballots,353,13,True,False,117.0,0.0,True,./output/posteriors/Other:_provisional_ballots_event_0_raw.p,./data/timeseries/aggregated/Other:_provisional_ballots_raw.csv,62.0,229.0,False
64,64,83,False_Victory:_PA_early_calls,539,554,False_Victory:_PA_early_calls_event_1,75,False Victory: PA early calls,1847,15,True,False,172.0,2.0,True,./output/posteriors/False_Victory:_PA_early_calls_event_1_raw.p,./data/timeseries/aggregated/False_Victory:_PA_early_calls_raw.csv,100.0,322.05499999999984,False
81,81,506,voting_info:_anyone_can_votes_as_often_as_you_wish,13806,13821,voting_info:_anyone_can_votes_as_often_as_you_wish_event_0,387,voting info: anyone can votes as often as you wish,85,15,True,False,56.0,0.0,True,./output/posteriors/voting_info:_anyone_can_votes_as_often_as_you_wish_event_0_raw.p,./data/timeseries/aggregated/voting_info:_anyone_can_votes_as_often_as_you_wish_raw.csv,32.0,88.0,False
91,91,347,Prominent_Person:_Jody_Hice,0,16,Prominent_Person:_Jody_Hice_event_0,295,Prominent Person: Jody Hice,3550,16,True,False,2764.0,6.0,True,./output/posteriors/Prominent_Person:_Jody_Hice_event_0_raw.p,./data/timeseries/aggregated/Prominent_Person:_Jody_Hice_raw.csv,1649.67,4704.0,False
99,99,256,partisan_vcr:__Kristie_Alley_Facebook_Retweet,458,475,partisan_vcr:__Kristie_Alley_Facebook_Retweet_event_0,213,partisan vcr:  Kristie Alley Facebook Retweet,1525,17,True,False,1096.0,0.0,True,./output/posteriors/partisan_vcr:__Kristie_Alley_Facebook_Retweet_event_0_raw.p,./data/timeseries/aggregated/partisan_vcr:__Kristie_Alley_Facebook_Retweet_raw.csv,691.0,1662.1099999999997,False
105,105,54,coup:_sunrise_movement,968,985,coup:_sunrise_movement_event_0,42,coup: sunrise movement,1422,17,True,False,321.0,0.0,True,./output/posteriors/coup:_sunrise_movement_event_0_raw.p,./data/timeseries/aggregated/coup:_sunrise_movement_raw.csv,226.0,472.05499999999984,False
110,110,409,Statistics:_Chinese_Language_Election_Storm,39,57,Statistics:_Chinese_Language_Election_Storm_event_0,326,Statistics: Chinese Language Election Storm,835,18,True,False,362.0,0.0,True,./output/posteriors/Statistics:_Chinese_Language_Election_Storm_event_0_raw.p,./data/timeseries/aggregated/Statistics:_Chinese_Language_Election_Storm_raw.csv,238.945,573.0,False
113,113,391,riot:_democrat-led_election_violence,7270,7288,riot:_democrat-led_election_violence_event_9,314,riot: democrat-led election violence,4890,18,True,False,409.0,0.0,True,./output/posteriors/riot:_democrat-led_election_violence_event_9_raw.p,./data/timeseries/aggregated/riot:_democrat-led_election_violence_raw.csv,308.945,542.0,False
128,128,386,riot:_democrat-led_election_violence,1882,1901,riot:_democrat-led_election_violence_event_4,314,riot: democrat-led election violence,4890,19,True,False,349.0,0.0,True,./output/posteriors/riot:_democrat-led_election_violence_event_4_raw.p,./data/timeseries/aggregated/riot:_democrat-led_election_violence_raw.csv,256.945,486.0,False
129,129,78,False_Victory:_GA_called_for_Trump,826,845,False_Victory:_GA_called_for_Trump_event_2,69,False Victory: GA called for Trump,9277,19,True,False,534.0,1.0,True,./output/posteriors/False_Victory:_GA_called_for_Trump_event_2_raw.p,./data/timeseries/aggregated/False_Victory:_GA_called_for_Trump_raw.csv,386.0,718.0549999999998,False
132,132,460,tech:_FL_voter_info_leaked,1306,1325,tech:_FL_voter_info_leaked_event_2,361,tech: FL voter info leaked,1216,19,True,False,255.0,0.0,True,./output/posteriors/tech:_FL_voter_info_leaked_event_2_raw.p,./data/timeseries/aggregated/tech:_FL_voter_info_leaked_raw.csv,178.0,377.0,False
134,134,419,Statistics:_JW_Counties_Over_100%,655,674,Statistics:_JW_Counties_Over_100%_event_7,330,Statistics: JW Counties Over 100%,6905,19,True,False,183.0,0.0,True,./output/posteriors/Statistics:_JW_Counties_Over_100%_event_7_raw.p,./data/timeseries/aggregated/Statistics:_JW_Counties_Over_100%_raw.csv,133.0,242.0,False
138,138,437,suppression:_robocall_stay_safe,869,889,suppression:_robocall_stay_safe_event_2,337,suppression: robocall stay safe,10943,20,True,False,860.0,2.0,True,./output/posteriors/suppression:_robocall_stay_safe_event_2_raw.p,./data/timeseries/aggregated/suppression:_robocall_stay_safe_raw.csv,678.0,1190.0,False
141,141,154,lost:_multistate_dumped_ballots,1464,1484,lost:_multistate_dumped_ballots_event_0,135,lost: multistate dumped ballots,500,20,True,False,302.0,0.0,True,./output/posteriors/lost:_multistate_dumped_ballots_event_0_raw.p,./data/timeseries/aggregated/lost:_multistate_dumped_ballots_raw.csv,200.945,465.0,False
164,164,359,protests:_portland_unrest,1014,1036,protests:_portland_unrest_event_0,306,protests: portland unrest,4272,22,True,False,916.0,0.0,True,./output/posteriors/protests:_portland_unrest_event_0_raw.p,./data/timeseries/aggregated/protests:_portland_unrest_raw.csv,677.9449999999999,1231.1099999999997,False
165,165,350,Prominent_Person:_O'Keefe_NYC_Fraud,24214,24237,Prominent_Person:_O'Keefe_NYC_Fraud_event_0,298,Prominent Person: O'Keefe NYC Fraud,81421,23,True,False,8273.0,0.0,True,./output/posteriors/Prominent_Person:_O'Keefe_NYC_Fraud_event_0_raw.p,./data/timeseries/aggregated/Prominent_Person:_O'Keefe_NYC_Fraud_raw.csv,6390.725,9923.495,False
171,171,181,lost:_VA_60k_undelivered_ballots,594,618,lost:_VA_60k_undelivered_ballots_event_4,147,lost: VA 60k undelivered ballots,1920,24,True,False,100.0,0.0,True,./output/posteriors/lost:_VA_60k_undelivered_ballots_event_4_raw.p,./data/timeseries/aggregated/lost:_VA_60k_undelivered_ballots_raw.csv,66.0,146.0,False
172,172,297,Physical_Mail_Fraud:_MI_Drops_Fake_Ballots,737,761,Physical_Mail_Fraud:_MI_Drops_Fake_Ballots_event_0,243,Physical Mail Fraud: MI Drops Fake Ballots,2282,24,True,False,1672.0,0.0,True,./output/posteriors/Physical_Mail_Fraud:_MI_Drops_Fake_Ballots_event_0_raw.p,./data/timeseries/aggregated/Physical_Mail_Fraud:_MI_Drops_Fake_Ballots_raw.csv,1303.945,2094.055,False
181,181,375,riot:_crimethinc,35156,35181,riot:_crimethinc_event_4,313,riot: crimethinc,9458,25,True,False,393.0,0.0,True,./output/posteriors/riot:_crimethinc_event_4_raw.p,./data/timeseries/aggregated/riot:_crimethinc_raw.csv,283.0,539.0,False
206,206,79,False_Victory:_NC_Early_Call,231,260,False_Victory:_NC_Early_Call_event_0,72,False Victory: NC Early Call,2531,29,True,False,1764.0,0.0,True,./output/posteriors/False_Victory:_NC_Early_Call_event_0_raw.p,./data/timeseries/aggregated/False_Victory:_NC_Early_Call_raw.csv,1340.89,2423.0,False
208,208,533,Voting_Twice:_Hannity_Virginia_Voters,4474,4503,Voting_Twice:_Hannity_Virginia_Voters_event_3,424,Voting Twice: Hannity Virginia Voters,49851,29,True,False,2642.0,0.0,True,./output/posteriors/Voting_Twice:_Hannity_Virginia_Voters_event_3_raw.p,./data/timeseries/aggregated/Voting_Twice:_Hannity_Virginia_Voters_raw.csv,2085.0,3317.0,False
213,213,65,dead_voters:_list_of_100+,521,551,dead_voters:_list_of_100+_event_0,50,dead voters: list of 100+,4441,30,True,False,1996.0,0.0,True,./output/posteriors/dead_voters:_list_of_100+_event_0_raw.p,./data/timeseries/aggregated/dead_voters:_list_of_100+_raw.csv,1446.89,2711.055,False
215,215,366,riot:_antifa_burning_things_down,17296,17326,riot:_antifa_burning_things_down_event_4,310,riot: antifa burning things down,92051,30,True,False,948.0,0.0,True,./output/posteriors/riot:_antifa_burning_things_down_event_4_raw.p,./data/timeseries/aggregated/riot:_antifa_burning_things_down_raw.csv,730.0,1203.0,False
228,228,346,Prominent_Person:_Ghost_Ballots,411,444,Prominent_Person:_Ghost_Ballots_event_0,294,Prominent Person: Ghost Ballots,23231,33,True,False,16976.0,0.0,True,./output/posteriors/Prominent_Person:_Ghost_Ballots_event_0_raw.p,./data/timeseries/aggregated/Prominent_Person:_Ghost_Ballots_raw.csv,12623.835,22343.144999999997,False
233,233,294,Physical_Mail_Fraud:_GA_Democrats_Fixing_Ballots,387,421,Physical_Mail_Fraud:_GA_Democrats_Fixing_Ballots_event_1,237,Physical Mail Fraud: GA Democrats Fixing Ballots,2846,34,True,False,836.0,0.0,True,./output/posteriors/Physical_Mail_Fraud:_GA_Democrats_Fixing_Ballots_event_1_raw.p,./data/timeseries/aggregated/Physical_Mail_Fraud:_GA_Democrats_Fixing_Ballots_raw.csv,671.0,1021.0549999999998,False
238,238,317,Physical_Mail_Fraud:_USPS_PA_Whistleblower,1327,1361,Physical_Mail_Fraud:_USPS_PA_Whistleblower_event_0,262,Physical Mail Fraud: USPS PA Whistleblower,125028,34,True,False,6592.0,2.0,True,./output/posteriors/Physical_Mail_Fraud:_USPS_PA_Whistleblower_event_0_raw.p,./data/timeseries/aggregated/Physical_Mail_Fraud:_USPS_PA_Whistleblower_raw.csv,5014.835,8546.055,False
256,256,427,Statistics:_Math_Video,940,978,Statistics:_Math_Video_event_1,333,Statistics: Math Video,34217,38,False,False,5154.0,0.0,True,./output/posteriors/Statistics:_Math_Video_event_1_raw.p,./data/timeseries/aggregated/Statistics:_Math_Video_raw.csv,3884.945,6432.219999999999,False
263,263,315,Physical_Mail_Fraud:_Press_Secretary,114,153,Physical_Mail_Fraud:_Press_Secretary_event_0,257,Physical Mail Fraud: Press Secretary,1862,39,True,False,1311.0,0.0,True,./output/posteriors/Physical_Mail_Fraud:_Press_Secretary_event_0_raw.p,./data/timeseries/aggregated/Physical_Mail_Fraud:_Press_Secretary_raw.csv,1013.89,1681.1649999999995,False
267,267,534,Voting_Twice:_Hannity_Virginia_Voters,6444,6484,Voting_Twice:_Hannity_Virginia_Voters_event_4,424,Voting Twice: Hannity Virginia Voters,49851,40,True,False,2665.0,0.0,True,./output/posteriors/Voting_Twice:_Hannity_Virginia_Voters_event_4_raw.p,./data/timeseries/aggregated/Voting_Twice:_Hannity_Virginia_Voters_raw.csv,2256.0,3103.22,False
270,270,469,tech:_Russia_2016_Hacking,3117,3157,tech:_Russia_2016_Hacking_event_6,366,tech: Russia 2016 Hacking,7232,40,True,False,296.0,0.0,True,./output/posteriors/tech:_Russia_2016_Hacking_event_6_raw.p,./data/timeseries/aggregated/tech:_Russia_2016_Hacking_raw.csv,224.0,383.0,False
307,307,161,lost:_NV_trash_ballots,5,54,lost:_NV_trash_ballots_event_0,139,lost: NV trash ballots,17193,49,True,False,6005.0,0.0,True,./output/posteriors/lost:_NV_trash_ballots_event_0_raw.p,./data/timeseries/aggregated/lost:_NV_trash_ballots_raw.csv,4874.945,7378.659999999998,False
315,315,22,ballot_stuffing:_MI_Van_Votes,485,536,ballot_stuffing:_MI_Van_Votes_event_0,27,ballot stuffing: MI Van Votes,9254,51,True,False,2193.0,0.0,True,./output/posteriors/ballot_stuffing:_MI_Van_Votes_event_0_raw.p,./data/timeseries/aggregated/ballot_stuffing:_MI_Van_Votes_raw.csv,1836.0,2438.055,False
325,325,39,coup:_color_revolution,1023,1078,coup:_color_revolution_event_0,35,coup: color revolution,101224,55,False,False,2197.0,0.0,True,./output/posteriors/coup:_color_revolution_event_0_raw.p,./data/timeseries/aggregated/coup:_color_revolution_raw.csv,1776.0,2615.11,False
378,378,414,Statistics:_JW_Counties_Over_100%,212,288,Statistics:_JW_Counties_Over_100%_event_2,330,Statistics: JW Counties Over 100%,6905,76,True,False,645.0,0.0,True,./output/posteriors/Statistics:_JW_Counties_Over_100%_event_2_raw.p,./data/timeseries/aggregated/Statistics:_JW_Counties_Over_100%_raw.csv,561.0,741.0,False
404,404,276,partisan_vcr:__Pennsylvania_poll_worker_empty_ballots,5617,5709,partisan_vcr:__Pennsylvania_poll_worker_empty_ballots_event_2,220,partisan vcr:  Pennsylvania poll worker empty ballots,94004,92,True,False,9164.0,19.0,True,./output/posteriors/partisan_vcr:__Pennsylvania_poll_worker_empty_ballots_event_2_raw.p,./data/timeseries/aggregated/partisan_vcr:__Pennsylvania_poll_worker_empty_ballots_raw.csv,8059.0,9856.165,False
